Calcarin 1	scig1.0075760
Calcarin 2	scig1.0043170
Calcarin 3	scig1.0034010
Calcarin 4	scig1.0046020
Calcarin 5	scig1.0008106
Calcarin 6	scig1.0002349
Calcarin 7	scig1.0050894
Calcarin 8	scig1.9002130
Calcarin 9	scig1.0037202
Calcarin 10	scig1.0024944
Calcarin 11	scig1.0017588
Calcarin 12	scig1.0079895
Calcarin 13	scig1.0012742
CA1	scig1.0004262
CA2	scig1.0014900
SLC4-AE-like1	scig1.0073909
SLC4-NCBT-like1	scig1.0027128
Diactinin	scig1.0069458
Triactinin	scig1.0042140
Spiculin	scig1.0053140
PI15-like	scig1.0063129
Subtilisin-like protease	scig1.0045131
CRISPLD2-like	scig1.0068968
FN3-domain protein	scig1.0049285
SMP 1	scig1.0038215
SMP 2	scig1.0060948
SMP 3	scig1.0059459
partial SMP 4	scig1.0071264
