 GW30948_IN	GW30948_OS	GW30948_OUT	GW30951_IN	GW30951_OS	GW30951_OUT	GW30956_IN	GW30956_OS	GW30956_OUT	GW30957_IN	GW30957_OS	GW30957_OUT	GW30959_IN	GW30959_OS	GW30959_OUT
scig1.9002078	0	1	0	0	2	0	0	1	0	0	1	0	1	0	2
scig1.9002074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001873	283	56	8	283	113	290	225	119	176	153	77	30	610	153	113
scig1.9001859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001608	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.9001495	4	8	2	14	10	26	7	12	24	5	4	5	8	2	5
scig1.9001361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001320	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
scig1.9001299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001264	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1
scig1.9001134	0	0	1	0	0	1	1	0	1	0	2	0	0	0	0
scig1.9001070	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0
scig1.9001006	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.9000978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000903	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
scig1.9000888	0	0	1	0	1	1	0	0	1	2	0	1	0	0	1
scig1.9000731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000651	170	26	83	130	53	377	77	60	116	189	40	197	168	68	80
scig1.9000488	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000430	0	0	0	3	0	2	1	1	1	0	0	3	1	0	1
scig1.9000402	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0
scig1.9000305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000250	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.9000170	4701	2325	1738	16195	6523	17093	7897	6407	10917	8289	5069	7267	16059	10000	6737
scig1.0082095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081941	1	0	2	0	4	1	0	0	6	1	1	1	3	0	2
scig1.0081928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081691	89	59	50	292	106	497	152	126	253	156	78	150	105	59	105
scig1.0081618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080868	0	0	0	0	1	0	0	0	0	4	0	1	2	0	0
scig1.0080837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080728	1	0	0	2	1	4	0	0	2	2	0	2	0	0	1
scig1.0080700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080541	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
scig1.0080533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080423	5	2	0	5	2	1	1	1	4	2	1	0	0	2	2
scig1.0080324	2	1	0	16	9	18	4	4	9	5	5	20	19	15	3
scig1.0080299	1	0	0	0	0	1	0	0	0	3	1	1	1	0	0
scig1.0080286	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.0080146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079931	0	0	0	1	0	1	1	0	4	0	0	0	0	0	1
scig1.0079811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079419	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
scig1.0079296	2	0	0	0	0	0	0	0	0	0	4	0	0	0	2
scig1.0079288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079243	1	1	3	0	0	0	0	0	0	0	0	0	1	0	0
scig1.0079161	0	1	0	0	0	2	0	0	1	1	1	3	0	0	0
scig1.0079096	0	3	0	0	7	2	0	1	1	1	2	0	0	1	0
scig1.0078860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078854	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0
scig1.0078828	0	1	0	1	4	8	1	5	2	1	0	1	2	1	1
scig1.0078654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078584	2	1	1	1	4	3	3	3	1	1	1	0	0	1	2
scig1.0078580	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
scig1.0078568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078555	4	2	3	3	0	4	1	0	6	4	4	10	0	5	2
scig1.0078541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078371	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0078363	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
scig1.0078308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078144	1	0	0	1	0	0	0	0	0	1	25	0	0	0	1
scig1.0078101	5	9	1	14	10	23	5	9	7	4	3	4	9	6	3
scig1.0078007	2	4	1	3	2	8	3	4	2	0	0	2	0	0	3
scig1.0077861	67	22	4	19	17	44	35	27	21	16	4	10	21	2	2
scig1.0077767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077559	3	0	0	1	0	0	0	0	1	0	0	0	1	0	0
scig1.0077543	71	24	18	70	51	217	47	53	67	77	39	92	70	43	42
scig1.0077468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077276	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.0077269	3	0	1	2	2	0	0	0	1	0	0	3	1	0	0
scig1.0077267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077257	1	0	0	1	0	0	1	3	0	0	0	0	0	1	0
scig1.0077147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077010	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
scig1.0076932	11	4	1	13	12	38	16	16	18	13	6	2	6	5	10
scig1.0076910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076847	0	6	0	1	9	2	4	5	1	1	9	0	2	0	1
scig1.0076817	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0
scig1.0076807	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0076684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076441	15	2	16	8	7	11	4	3	16	15	3	13	12	3	6
scig1.0076325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076316	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
scig1.0076225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076170	14	19	23	59	39	69	53	17	76	22	37	38	24	19	32
scig1.0076151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075987	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
scig1.0075944	1	4	0	9	5	10	16	3	20	10	3	12	16	6	2
scig1.0075878	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0
scig1.0075846	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0
scig1.0075844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075743	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0075638	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075608	0	0	0	3	0	1	2	5	4	0	0	0	3	0	0
scig1.0075598	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0
scig1.0075379	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
scig1.0075260	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
scig1.0075184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075168	268	87	25	115	114	313	100	128	93	132	84	55	110	85	85
scig1.0075092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074763	0	0	0	3	0	12	0	0	0	0	1	3	0	1	0
scig1.0074742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074712	37	21	26	66	25	129	34	36	41	36	18	52	33	19	19
scig1.0074613	0	0	1	1	5	0	2	3	1	2	3	0	2	2	0
