 SRR11617503	SRR11617504	SRR11617505	SRR11617506	SRR11617507	SRR11617508	SRR11617513	SRR11617514	SRR11617519	SRR11617520	SRR11617523	SRR11617524	SRR11617526	SRR11617527	SRR11617528
scig1.9002078	14	8	10	3	12	6	16	9	11	15	3	11	21	29	10
scig1.9002074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001873	694	173	434	258	460	807	223	709	317	724	685	635	400	511	35
scig1.9001859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001812	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
scig1.9001642	0	1	0	0	1	0	0	6	0	0	2	1	0	0	1
scig1.9001608	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001495	36	12	28	14	66	42	23	40	22	36	51	19	34	34	66
scig1.9001361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001320	0	0	10	3	0	0	4	0	0	11	0	0	3	37	0
scig1.9001299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001264	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
scig1.9001134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9001070	0	0	0	0	0	0	3	0	0	0	4	1	0	0	0
scig1.9001006	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000903	0	1	0	0	0	0	1	2	1	1	0	1	1	1	2
scig1.9000888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000651	9	2	9	6	53	51	3	33	9	8	71	39	21	23	68
scig1.9000488	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0
scig1.9000430	0	0	1	0	7	6	0	3	0	0	2	1	0	1	0
scig1.9000402	0	0	0	0	1	0	0	0	0	1	0	0	0	0	6
scig1.9000305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.9000250	4	0	7	0	0	1	0	0	0	0	1	4	0	0	0
scig1.9000170	64553	16414	21714	13062	35858	52660	29446	45331	30172	34366	59786	71768	45120	52619	53797
scig1.0082095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081941	8	0	0	0	0	4	0	0	3	1	2	1	0	1	0
scig1.0081928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0081691	2913	1059	1134	675	1209	1206	689	794	783	858	1201	1148	739	1004	922
scig1.0081618	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1
scig1.0081446	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
scig1.0081002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080868	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
scig1.0080837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080728	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1
scig1.0080700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080423	68	21	14	10	16	28	17	17	8	15	40	21	48	71	23
scig1.0080324	14	3	6	2	1	5	4	3	2	0	4	4	2	4	13
scig1.0080299	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0080286	0	1	0	0	0	4	1	2	1	0	0	0	0	1	5
scig1.0080146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0080029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0079296	2	2	0	0	10	12	0	4	0	2	0	0	0	0	3
scig1.0079288	0	0	0	2	0	0	2	0	0	0	0	3	2	0	2
scig1.0079243	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0079161	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0
scig1.0079096	0	0	3	4	1	7	16	4	1	10	8	11	2	0	0
scig1.0078860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078854	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0
scig1.0078828	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0
scig1.0078654	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0078584	2	0	0	0	0	1	1	0	2	4	0	5	2	4	0
scig1.0078580	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0
scig1.0078568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078555	270	54	79	9	32	28	4	14	7	2	0	2	0	3	18
scig1.0078541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078371	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
scig1.0078363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0078144	0	5	2	4	15	11	0	0	0	0	0	0	2	1	1
scig1.0078101	4	4	6	0	3	13	7	4	2	0	5	5	2	4	6
scig1.0078007	2	0	1	2	2	3	0	3	1	4	5	7	1	0	4
scig1.0077861	60	12	88	38	115	67	33	24	35	50	78	33	27	45	33
scig1.0077767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077559	4	0	0	0	1	4	0	0	2	1	2	0	0	0	0
scig1.0077543	48	15	18	14	36	42	41	30	43	39	55	50	26	18	18
scig1.0077468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077269	3	3	0	0	0	3	0	0	0	1	0	0	0	2	1
scig1.0077267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077257	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
scig1.0077147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0077010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076932	191	57	61	46	83	61	26	35	75	31	74	78	114	150	14
scig1.0076910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076847	0	0	0	0	0	0	3	0	13	6	16	24	16	16	0
scig1.0076817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076807	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
scig1.0076684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076441	39	2	2	2	3	2	4	11	60	15	22	11	14	2	503
scig1.0076325	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076316	2	0	0	0	0	1	4	0	0	0	0	0	0	0	6
scig1.0076225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076170	30	54	15	33	47	34	117	55	151	122	102	129	254	236	11
scig1.0076151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0076008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075944	21	4	4	4	20	14	4	6	12	12	28	30	3	9	2
scig1.0075878	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075846	1	3	3	1	1	2	4	1	1	1	1	1	0	1	2
scig1.0075844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075743	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075638	0	0	0	1	0	2	2	0	0	2	0	0	0	0	0
scig1.0075608	3	5	15	7	3	5	17	4	1	11	4	11	3	11	5
scig1.0075598	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
scig1.0075379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075260	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
scig1.0075184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075168	117	38	35	15	39	36	45	35	72	61	55	41	67	102	62
scig1.0075092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0075022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074763	2	0	0	0	2	0	2	0	2	0	0	2	1	0	2
scig1.0074742	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074712	138	36	36	33	91	60	60	71	77	75	77	79	83	86	182
scig1.0074613	0	0	0	0	0	0	0	0	0	2	7	3	2	1	0
scig1.0074410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074350	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0
scig1.0074216	10	4	1	1	0	12	0	1	0	0	0	1	0	0	0
scig1.0074213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0074104	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
scig1.0073932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0073902	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0073886	1	0	0	0	0	0	0	1	0	0	4	0	2	0	0
scig1.0073794	8	1	4	1	1	6	3	2	2	0	11	5	0	11	0
scig1.0073694	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
scig1.0073667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0073503	27	2	11	2	27	5	1	8	2	7	0	4	5	3	72
scig1.0073499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0073406	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
scig1.0073393	37	13	60	17	35	28	86	47	9	72	73	40	42	108	18
scig1.0073376	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0073301	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0
scig1.0073080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0073053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0072995	5	2	0	0	1	0	0	2	0	0	0	0	0	1	5
scig1.0072841	937	374	223	185	562	313	344	338	750	486	891	692	794	588	59
scig1.0072798	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
scig1.0072755	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0
scig1.0072703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0072661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0072415	0	0	3	0	0	0	0	1	0	0	8	0	0	0	5
scig1.0072302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0072270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0072133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
scig1.0071925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071879	112	32	52	25	66	53	26	82	37	26	52	32	27	64	57
scig1.0071843	8	1	1	4	1	2	2	0	12	13	9	5	18	16	1
scig1.0071830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071806	1	1	2	1	0	0	0	0	1	1	3	0	0	2	0
scig1.0071618	88	57	42	45	151	159	127	177	150	117	171	174	110	138	551
scig1.0071569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071193	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
scig1.0071058	2	1	1	1	3	2	0	0	0	0	3	0	0	1	2
scig1.0071035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0071010	1	0	0	0	0	1	2	0	0	0	0	2	0	0	2
scig1.0070998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0070737	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
scig1.0070425	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1
scig1.0070383	0	1	0	0	0	0	1	2	1	0	2	0	0	2	0
scig1.0070380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0070174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069958	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1
scig1.0069804	10	0	2	0	0	2	0	0	0	0	0	0	0	0	4
scig1.0069734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069702	0	2	0	0	1	0	0	0	0	0	1	1	3	1	1
scig1.0069701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069646	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069586	4	2	0	1	4	0	0	3	1	2	3	2	5	1	0
scig1.0069582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069284	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069273	0	0	0	0	2	0	0	1	0	3	0	0	0	8	3
scig1.0069267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069262	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
scig1.0069252	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
scig1.0069123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0069112	0	1	0	0	5	2	1	0	1	1	1	1	1	1	0
scig1.0069063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
