scig1.0000008	GO:0008046,GO:0005509,GO:0005201
scig1.0000107	GO:0019781,GO:0008641,GO:0004839
scig1.0000110	GO:0008289,GO:0050473,GO:0051213,GO:0046872,GO:0036403,GO:0016491,GO:0005506,GO:1990136,GO:0016165,GO:0005509,GO:0016702
scig1.0000182	GO:0000978,GO:0042802,GO:0001161,GO:0003700,GO:0140297,GO:0031490,GO:0003677,GO:0001228,GO:0043565,GO:0003682
scig1.0000188	GO:0005085,GO:0031267,GO:0005515
scig1.0000203	GO:0004565,GO:0004553,GO:0050115,GO:0017018,GO:0016791,GO:0016787,GO:0046872,GO:0004722,GO:0016798,GO:0004721
scig1.0000217	GO:0004838,GO:0030170,GO:0016740,GO:0008483,GO:0003824,GO:0016597,GO:0042802
scig1.0000221	GO:0016746,GO:0008374,GO:0016740
scig1.0000236	GO:0008266,GO:0003723,GO:0042802,GO:0003676,GO:0003729,GO:0005515,GO:0003727
scig1.0000243	GO:0005515,GO:0000149,GO:0046872,GO:0005509,GO:0005543,GO:0019905
scig1.0000248	GO:0044877,GO:0003774,GO:0000146,GO:0016887,GO:0003779,GO:0035091,GO:0005524,GO:0008289,GO:0005515,GO:0000166,GO:0005516,GO:0051015
scig1.0000261	GO:0004888,GO:0004930
scig1.0000292	GO:0016844,GO:0004064
scig1.0000327	GO:0030023,GO:0005179,GO:0005201,GO:0005509,GO:0008201,GO:0005515
scig1.0000336	GO:0044877,GO:0046872,GO:0016879,GO:0030955,GO:0004087,GO:0003824,GO:0072341,GO:0005509,GO:0036094,GO:0005543,GO:0000166,GO:0016874,GO:0016595,GO:0004088,GO:0004175,GO:0005524
scig1.0000375	GO:0005509,GO:0003682,GO:0098640
scig1.0000469	GO:0017147,GO:0005109
scig1.0000504	GO:0005509,GO:0052590,GO:0052591,GO:0004368,GO:0046872,GO:0016491
scig1.0000515	GO:0004519,GO:0003887,GO:0004518,GO:0008233,GO:0016740,GO:0003676,GO:0016787,GO:0004190,GO:0003964,GO:0016779
scig1.0000523	GO:0004809,GO:0008168,GO:0016740,GO:0051018,GO:0003723,GO:0000049,GO:0019207,GO:0008757,GO:0046872
scig1.0000542	GO:0008688,GO:0016491,GO:0071949
scig1.0000543	GO:0005515,GO:0004672,GO:0005524,GO:0106310,GO:0000166,GO:0016301,GO:0004712,GO:0046872,GO:0004674,GO:0016740
scig1.0000545	GO:0051377,GO:0016780
scig1.0000561	GO:0016787,GO:0016798,GO:0003824,GO:0003796
scig1.0000588	GO:0140326,GO:0031625,GO:0046943,GO:0042626,GO:0005548,GO:0042910,GO:0022857,GO:0016887,GO:0008559,GO:0005524,GO:0005515,GO:0140359,GO:0140328,GO:0090555,GO:0000166,GO:0090554,GO:0015562,GO:0099038
scig1.0000607	GO:0016787,GO:0000166,GO:0005515,GO:0005524,GO:0045134,GO:0004382,GO:0017110,GO:0017111
scig1.0000608	GO:0003723,GO:0046872,GO:0008143
scig1.0000673	GO:0005515
scig1.0000679	GO:0004713,GO:0016740,GO:0019903,GO:0004714,GO:0016301,GO:0005524,GO:0004672,GO:0000166
scig1.0000700	GO:0016787,GO:0000166,GO:0005525,GO:0003924,GO:0000049,GO:0008135,GO:0003743
scig1.0000720	GO:0000287,GO:0090554,GO:0005524,GO:0005515,GO:0000166,GO:0016887,GO:0046872,GO:0140326,GO:0140345
scig1.0000733	GO:0000166,GO:0005524
scig1.0000769	GO:0008168,GO:0000234,GO:0016740,GO:0052667,GO:0008757
scig1.0000802	GO:0004252
scig1.0000842	GO:0016740,GO:0016779,GO:0003964,GO:0003824
scig1.0000908	GO:0005515,GO:0030170,GO:0003824,GO:0042802,GO:0008483,GO:0030246,GO:0004838,GO:0016597,GO:0016740,GO:0038023
scig1.0000939	GO:0016787,GO:0008237,GO:0090729,GO:0004222,GO:0016504,GO:0046872,GO:0008233
scig1.0000943	GO:0004497,GO:0016705,GO:0046872,GO:0016491,GO:0005506,GO:0070330,GO:0020037
scig1.0000950	GO:0061630,GO:0008270,GO:0016740,GO:0046872
scig1.0000951	GO:0005515,GO:0003677,GO:0003676
scig1.0000958	GO:0016740,GO:0008175,GO:0008757,GO:0102522
scig1.0001003	GO:0004175,GO:0016787,GO:0001968,GO:0005507,GO:0046872,GO:0016641,GO:0042277,GO:0016491,GO:0004252,GO:0008236,GO:0004720,GO:0008233
scig1.0001017	GO:0016740,GO:0003723,GO:0004674,GO:0048156,GO:0046872,GO:0045296,GO:0001786,GO:0070300,GO:0005546,GO:0030295,GO:0140677,GO:0016301,GO:0000287,GO:0106310,GO:0050321,GO:0000166,GO:0008289,GO:0005515,GO:0005524,GO:0004672
scig1.0001033	GO:0004674,GO:0042803,GO:0016740,GO:0008384,GO:0004672,GO:0005524,GO:0005515,GO:0046982,GO:0000166,GO:0016301
scig1.0001034	GO:0016791,GO:0008138
scig1.0001097	GO:0016740,GO:0004364
scig1.0001168	GO:0019887,GO:0045296,GO:0170011,GO:0060090,GO:0003723,GO:0008135,GO:0043539
scig1.0001210	GO:0008519
scig1.0001217	GO:0004566,GO:0016787,GO:0016798
scig1.0001244	GO:0030170,GO:0004122,GO:0046872,GO:0016829,GO:0042803
scig1.0001277	GO:0019899,GO:0008289,GO:0005515,GO:0070273
scig1.0001282	GO:0050201,GO:0016301,GO:0016772,GO:0000166,GO:0005515,GO:0005524,GO:0016740,GO:0016773
scig1.0001296	GO:0015349,GO:0015347,GO:0008514,GO:0015132,GO:0022857
scig1.0001322	GO:0003824,GO:0000166,GO:0030170,GO:0004794,GO:0016829
scig1.0001349	GO:0044877,GO:0005179,GO:0005201,GO:0005178,GO:0005515,GO:0005509,GO:0008201,GO:0042802
scig1.0001357	GO:0016787,GO:0003824,GO:0047621,GO:0018773,GO:0046872
scig1.0001377	GO:0003700,GO:0000976,GO:0005509,GO:0000981,GO:0003677,GO:1990837,GO:0005515,GO:0140566,GO:0008270,GO:0000978,GO:0070577,GO:0035064,GO:0046872
scig1.0001379	GO:0005515,GO:0005509
scig1.0001382	GO:0035091
scig1.0001408	GO:0022857
scig1.0001424	GO:0008233,GO:0008270,GO:0004222,GO:0046872,GO:0016787,GO:0008237,GO:0090729
scig1.0001442	GO:0000978,GO:0016740,GO:0046872,GO:0019789,GO:0061665,GO:0043565,GO:0003713,GO:0046983,GO:0042802,GO:0003712,GO:1990837,GO:0005515,GO:0001228,GO:0003677,GO:0000981
scig1.0001531	GO:0042301,GO:0016787,GO:0052689,GO:0003824,GO:0017171,GO:0047378
scig1.0001532	GO:0016787,GO:0008237,GO:0008233,GO:0004222,GO:0046872
scig1.0001536	GO:0046872,GO:0003943,GO:0016787,GO:0004065,GO:0008484,GO:0043890
scig1.0001577	GO:0042803,GO:0016491,GO:0016672,GO:0004364
scig1.0001587	GO:0047021,GO:0008106,GO:0047020,GO:0050221,GO:0004090,GO:0016491,GO:0016616,GO:0016655
scig1.0001613	GO:0016740,GO:0008233,GO:0003676,GO:0003723,GO:0004518,GO:0008270,GO:0003887,GO:0004519,GO:0046872,GO:0003824,GO:0004190,GO:0004540,GO:0003964,GO:0016779,GO:0016787,GO:0003677,GO:0000166,GO:0004523,GO:0019899,GO:0005524
scig1.0001637	GO:0003887,GO:0046872,GO:0003676,GO:0008270,GO:0019899
scig1.0001651	GO:0003674
scig1.0001660	GO:0061630,GO:0042802,GO:0005515,GO:0034450,GO:0004842,GO:0016740
scig1.0001675	GO:0051117,GO:0005515,GO:0046961,GO:0008553
scig1.0001703	GO:0016491,GO:0004800
scig1.0001726	GO:0016881,GO:0070738,GO:0000166,GO:0106310,GO:0016874,GO:0005515,GO:0005524,GO:0004672,GO:0003824,GO:0016779,GO:0016301,GO:0003964,GO:0070735,GO:0070736,GO:0046872,GO:0140096,GO:0019903,GO:0016740,GO:0004674
scig1.0001730	GO:0003779
scig1.0001753	GO:0005096,GO:0004127,GO:0016740,GO:0008233,GO:0005200,GO:0042803,GO:0005085,GO:0042500,GO:0016787,GO:0000166,GO:0005515,GO:0005524,GO:0031267,GO:0004550,GO:0042802,GO:0005525,GO:0019205,GO:0016301,GO:0004017
scig1.0001783	GO:0008137,GO:0003954,GO:0050136,GO:0016491
scig1.0001786	GO:0030414,GO:0038023,GO:0099106,GO:0046872,GO:0005509,GO:0004867,GO:0090729
scig1.0001801	GO:0097602,GO:0005515,GO:0061630
scig1.0001815	GO:0030234,GO:0005509,GO:0005515,GO:0046872
scig1.0001860	GO:0000981,GO:0005515,GO:0046872,GO:0000978
scig1.0001883	GO:0005085,GO:0005096,GO:0032794,GO:0031267,GO:0005515
scig1.0001888	GO:1990837,GO:0046872,GO:0003723
scig1.0001889	GO:0016740,GO:0004674,GO:0004713,GO:0016301,GO:0000166,GO:0106310,GO:0097677,GO:0005524,GO:0004672
scig1.0001896	GO:0050431,GO:0005509,GO:0050436,GO:0060090,GO:0019838,GO:0005201
scig1.0001912	GO:0046872,GO:0004930
scig1.0001930	GO:0005524,GO:0004672,GO:0005516,GO:0000166,GO:0016301,GO:0005509,GO:0004674,GO:0004686,GO:0016740,GO:0008135
scig1.0001961	GO:0035591,GO:0003925,GO:0003924,GO:0031996,GO:0019003,GO:0005525,GO:0016787,GO:0000166
scig1.0001980	GO:0035591,GO:0046872
scig1.0002053	GO:0043539,GO:0030295
scig1.0002073	GO:0043024,GO:0031369,GO:0043022,GO:0005515
scig1.0002085	GO:0005515,GO:0051219,GO:0005509,GO:0044325,GO:0046872,GO:0005080,GO:0044877,GO:0003723
scig1.0002086	GO:0004888,GO:0003713,GO:0004930,GO:0050699,GO:0035374,GO:0003682,GO:0005515,GO:0009374,GO:0004175,GO:0035035,GO:0005509,GO:0030246
scig1.0002111	GO:0003824
scig1.0002114	GO:0017147,GO:0005509,GO:0042813,GO:0005515,GO:0043236,GO:0043237,GO:0005518,GO:0005201,GO:0043394,GO:0050840
